GENE,cluster1
EN2,1.0
ZIC5,1.0
NKX2-2,1.0
LMX1B,1.0
ONECUT3,1.0
DLX6,1.0
SCRG1,1.0
RBFOX3,1.0
PAX9,1.0
TLX3,1.0
DLX1,1.0
DLX2,1.0
HAND1,1.0
VAX2,1.0
POU3F3,1.0
TMEM132E,1.0
CRTAC1,1.0
DLX3,1.0
SHTN1,1.0
EBF3,1.0
FOXA1,1.0
TFAP2A,1.0
RNF220,1.0
DDN,1.0
PRSS16,1.0
ASIC4,1.0
DMRT3,1.0
SIX6,1.0
HOXC10,1.0
PRDM6,1.0
DSCAML1,1.0
COMP,1.0
FOXD3,1.0
LHX3,1.0
LINGO1,1.0
NEUROG1,1.0
METAP1D,1.0
HAND2,1.0
SIM1,1.0
SLC9A3,1.0
RFX4,1.0
SLC6A17,1.0
AQP5,1.0
ONECUT2,1.0
PRDM8,1.0
FOXD2,1.0
OTOP3,1.0
KIRREL3,1.0
DMTN,1.0
PAX1,1.0
FOXB2,1.0
ATP6V1B1,1.0
TCHH,1.0
GSX1,1.0
CRMP1,1.0
GFI1B,1.0
TBX2,1.0
CRYBA2,1.0
RIPK4,1.0
CABP7,1.0
GRIK3,1.0
ISL1,1.0
SFRP1,1.0
LHX4,1.0
EMX1,1.0
ZDHHC22,1.0
VSIG2,1.0
GRM4,1.0
TCF21,1.0
UNC5A,1.0
MAFB,1.0
CELF4,1.0
SIX2,1.0
PCK1,1.0
FOXC1,1.0
RHCG,1.0
BMP7,1.0
TMC2,1.0
HMX1,1.0
NEUROD1,1.0
IHH,1.0
MPPED1,1.0
SOX3,1.0
POM121L2,1.0
OLFM1,1.0
TBX1,1.0
CPLX1,1.0
SLC17A7,1.0
PDGFB,1.0
CALY,1.0
KCNJ10,1.0
VAX1,1.0
SLC26A10,1.0
PSD2,1.0
LMO2,1.0
SYT5,1.0
GIMAP5,1.0
VSX2,1.0
NRG2,1.0
TNNI3,1.0
FAM172A,1.0
BLK,1.0
ANO1,1.0
EXOC6,1.0
ADGRB1,1.0
GABRD,1.0
RGS20,1.0
PHACTR3,1.0
CYP24A1,1.0
PDX1,1.0
SCN4B,1.0
NAT8L,1.0
GATA4,1.0
KCNQ2,1.0
WNT7B,1.0
ITPKA,1.0
OSR2,1.0
SEZ6,1.0
CDC20B,1.0
ISLR2,1.0
PAX6,1.0
RTBDN,1.0
SALL1,1.0
ANK1,1.0
DLK1,1.0
EPS8L1,1.0
EOMES,1.0
ARHGAP36,1.0
SHROOM1,1.0
GJA3,1.0
HNF1B,1.0
HOXB5,1.0
GAD1,1.0
NSG1,1.0
BHLHE22,1.0
MEIS1,1.0
SKAP1,1.0
FBXL16,1.0
DMBX1,1.0
PPP2R2C,1.0
EGR4,1.0
TCTE1,1.0
CDKN2C,1.0
MRGPRG,1.0
DBH,1.0
