GENE,cluster1
GATA3,1.0
CDX2,1.0
NTNG2,1.0
SCRG1,1.0
EN1,1.0
NKX2-5,1.0
GATA4,1.0
HAND2,1.0
ZIC5,1.0
RBFOX3,1.0
GSX2,1.0
LHX6,1.0
SNCB,1.0
EPHA8,1.0
PAX5,1.0
VAX2,1.0
NR2E1,1.0
OTP,1.0
NKX2-3,1.0
SLC6A17,1.0
KCNC1,1.0
SP8,1.0
TCTE1,1.0
RFX4,1.0
EVX1,1.0
NTN1,1.0
LMX1B,1.0
DUOXA1,1.0
FOXD3,1.0
SHTN1,1.0
GATA6,1.0
IRX4,1.0
GSX1,1.0
POU3F2,1.0
TAL1,1.0
OTX1,1.0
OLIG3,1.0
TFAP2D,1.0
HMX3,1.0
GRM4,1.0
CRTAC1,1.0
PRSS16,1.0
WNT10B,1.0
SYT7,1.0
LINGO1,1.0
PRDM16,1.0
UNC5A,1.0
POU4F2,1.0
CBX8,1.0
RSPO1,1.0
SHOX2,1.0
FOXB1,1.0
LHX4,1.0
SSTR5,1.0
EBF3,1.0
ANK1,1.0
LMX1A,1.0
NKX2-6,1.0
FOXD2,1.0
IRF4,1.0
DLX1,1.0
EPHA10,1.0
SFRP1,1.0
DBX1,1.0
SOX17,1.0
FOXA1,1.0
ASIC4,1.0
TFAP2A,1.0
ONECUT2,1.0
CPLX1,1.0
LHX9,1.0
FAM43B,1.0
DDN,1.0
SCRT2,1.0
FOXG1,1.0
CRMP1,1.0
OTOP3,1.0
MYOD1,1.0
LHX3,1.0
METAP1D,1.0
EGR4,1.0
PPP2R2C,1.0
DMRT2,1.0
PAX7,1.0
GNAS,1.0
SLC17A7,1.0
MAFB,1.0
CHAT,1.0
XKR6,1.0
CPLX4,1.0
ESX1,1.0
KCNIP1,1.0
FBXL16,1.0
RNF220,1.0
PHACTR3,1.0
PCK1,1.0
ZDHHC22,1.0
TMC2,1.0
CELF4,1.0
FOXF2,1.0
CALY,1.0
FLI1,1.0
POU2F3,1.0
KLF14,1.0
IGSF21,1.0
TCHH,1.0
PAX1,1.0
OLFM1,1.0
RTBDN,1.0
GFI1B,1.0
GJA3,1.0
ALX3,1.0
CACNA2D4,1.0
KCND3,1.0
UNCX,1.0
NRXN2,1.0
NKX3-1,1.0
ACAN,1.0
LRTM2,1.0
CDH22,1.0
ITPKA,1.0
CCDC33,1.0
CBLN1,1.0
KCNH2,1.0
NSG1,1.0
HPCAL4,1.0
FOXL2,1.0
ADORA1,1.0
ADRA2C,1.0
DLK1,1.0
SOX3,1.0
ISLR2,1.0
WNT6,1.0
ATP6V1B1,1.0
SHANK1,1.0
BUB3,1.0
BRINP2,1.0
TBX3,1.0
KCNJ10,1.0
ACTR5,1.0
EOMES,1.0
PRKAG1,1.0
HEY2,1.0
CCM2L,1.0
DMRTA2,1.0
ADRA1B,1.0
